name,category
ADA-USD,crypto
TRX-USD,crypto
LTC-USD,crypto
ETH-USD,crypto
BCH-USD,crypto
ETC-USD,crypto
SOL1-USD,crypto
XRP-USD,crypto
SHIB-USD,crypto
BNB-USD,crypto
DOGE-USD,crypto
LINK-USD,crypto
MATIC-USD,crypto
XLM-USD,crypto
AVAX-USD,crypto
EOS-USD,crypto
XTZ-USD,crypto
ALGO-USD,crypto
KSM-USD,crypto
DASH-USD,crypto
VET-USD,crypto
THETA-USD,crypto
XMR-USD,crypto
AAVE-USD,crypto
MIOTA-USD,crypto
NEO-USD,crypto
MKR-USD,crypto
CHZ-USD,crypto
MPH-USD,crypto
EPK-USD,crypto
AWC-USD,crypto
ISP-USD,crypto
vLINK-USD,crypto
ETP-USD,crypto
vLTC-USD,crypto
XSN-USD,crypto
XEND-USD,crypto
FCT-USD,crypto
UPUNK-USD,crypto
VRT-USD,crypto
XRT-USD,crypto
$ANRX-USD,crypto
ABYSS-USD,crypto
MOD-USD,crypto
LITH-USD,crypto
GTH-USD,crypto
TRIX-USD,crypto
TOWER-USD,crypto
APM-USD,crypto
NPXSXEM-USD,crypto
MTA-USD,crypto
BIR-USD,crypto
VIDYA-USD,crypto
PBX-USD,crypto
ENQ-USD,crypto
IDV-USD,crypto
NXT-USD,crypto
COV-USD,crypto
SWASH-USD,crypto
PZM-USD,crypto
BLY-USD,crypto
BP-USD,crypto
CIRUS-USD,crypto
ICE-USD,crypto
GRO-USD,crypto
0xBTC-USD,crypto
NORD-USD,crypto
TULIP-USD,crypto
FXF-USD,crypto
DTEP-USD,crypto
CWV-USD,crypto
KTN-USD,crypto
KONO-USD,crypto
SYLO-USD,crypto
BAAS-USD,crypto
SNY-USD,crypto
KCAL-USD,crypto
BAO-USD,crypto
SRK-USD,crypto
JUV-USD,crypto
DPS-USD,crypto
NVT-USD,crypto
AOG-USD,crypto
SNM-USD,crypto
DOE-USD,crypto
TEN-USD,crypto
STAK-USD,crypto
KROM-USD,crypto
DOV-USD,crypto
ANW-USD,crypto
mTWTR-USD,crypto
KMON-USD,crypto
STRP-USD,crypto
MTH-USD,crypto
BIN-USD,crypto
EDEN-USD,crypto
HTD-USD,crypto
HPT-USD,crypto
LABS-USD,crypto
