Date,Open,High,Low,Close,Volume,macd,signal,hist,buy_price,sell_price,macd_signal
2021-12-31,3.400000059627928e-05,3.5000000934815034e-05,3.300000025774352e-05,3.300000025774352e-05,934738093,0.0,0.0,0.0,,,0
2022-01-01,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.400000059627928e-05,608789558,7.977210677778196e-08,1.5954421355556393e-08,6.381768542222557e-08,3.400000059627928e-05,,1
2022-01-02,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,574109134,1.4136253679709578e-07,4.1036044443864275e-08,1.0032649235323151e-07,,,0
2022-01-03,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.300000025774352e-05,720676202,1.0823407135299813e-07,5.447564982569105e-08,5.375842152730708e-08,,,0
2022-01-04,3.300000025774352e-05,3.300000025774352e-05,3.199999991920777e-05,3.199999991920777e-05,717218977,1.2731774454765384e-09,4.383515534964815e-08,-4.256197790417161e-08,,3.199999991920777e-05,-1
2022-01-05,3.199999991920777e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05,1138566779,-2.420868154102366e-07,-1.3349238802328797e-08,-2.2873757660790778e-07,,,0
2022-01-06,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05,1172523092,-3.502225455944964e-07,-8.072390016076232e-08,-2.694986454337341e-07,,,0
2022-01-07,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,1169467775,-5.904971998525982e-07,-1.826785600991295e-07,-4.078186397534687e-07,,,0
2022-01-08,2.9000000722589903e-05,2.9999999242136255e-05,2.700000004551839e-05,2.8000000384054147e-05,1081101278,-8.517893668057822e-07,-3.165007214404601e-07,-5.352886453653221e-07,,,0
2022-01-09,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,741130328,-1.0467984506943993e-06,-4.6256026729124793e-07,-5.842381834031513e-07,,,0
2022-01-10,2.8000000384054147e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.700000004551839e-05,1044022667,-1.2674261251832689e-06,-6.235334388696521e-07,-6.438926863136167e-07,,,0
2022-01-11,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.8000000384054147e-05,856528185,-1.3460668559659033e-06,-7.680401222889024e-07,-5.780267336770009e-07,,,0
2022-01-12,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,3.199999991920777e-05,1541810685,-1.0732518888919989e-06,-8.290824756095217e-07,-2.4416941328247716e-07,,,0
2022-01-13,3.199999991920777e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05,1435576624,-1.0068213916188046e-06,-8.646302588113784e-07,-1.4219113280742622e-07,,,0
2022-01-14,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05,1538750911,-8.635288508905922e-07,-8.644099772272212e-07,8.811263366289988e-10,3.099999958067201e-05,,1
2022-01-15,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,697319385,-7.414218306517842e-07,-8.398123479121338e-07,9.839051726034954e-08,,,0
2022-01-16,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,613620998,-6.373046856709337e-07,-7.993108154638939e-07,1.6200612979296016e-07,,,0
2022-01-17,3.099999958067201e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,758868918,-7.08012760924154e-07,-7.81051204555946e-07,7.303844363179202e-08,,,0
2022-01-18,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,817784966,-8.351144108670054e-07,-7.918638458181578e-07,-4.325056504884755e-08,,2.8000000384054147e-05,-1
2022-01-19,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,644592746,-1.0049506090716086e-06,-8.34481198468848e-07,-1.704694106027606e-07,,,0
2022-01-20,2.700000004551839e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,380410746,-1.2063328357068833e-06,-9.08851525916455e-07,-2.9748130979042825e-07,,,0
2022-01-21,2.5999999706982635e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,1422249920,-1.6694518327615102e-06,-1.060971587285466e-06,-6.084802454760442e-07,,,0
2022-01-22,2.2000000171829015e-05,2.2000000171829015e-05,1.700000029813964e-05,2.099999983329326e-05,2140529993,-2.0930413664879414e-06,-1.267385543125961e-06,-8.256558233619803e-07,,,0
2022-01-23,2.099999983329326e-05,2.4000000848900527e-05,2.099999983329326e-05,2.2000000171829015e-05,1957464251,-2.3212890782538004e-06,-1.478166250151529e-06,-8.431228281022714e-07,,,0
2022-01-24,2.2000000171829015e-05,2.300000051036477e-05,1.8999999156221747e-05,2.099999983329326e-05,1924476636,-2.553434303044673e-06,-1.6932198607301578e-06,-8.602144423145151e-07,,,0
2022-01-25,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,1047337942,-2.706215498501399e-06,-1.8958189882844061e-06,-8.103965102169931e-07,,,0
2022-01-26,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,1155008423,-2.795075802651241e-06,-2.075670351157773e-06,-7.194054514934681e-07,,,0
2022-01-27,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,890469542,-2.8328429833652067e-06,-2.2271048775992598e-06,-6.057381057659469e-07,,,0
2022-01-28,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,538455794,-2.8301495439432094e-06,-2.34771381086805e-06,-4.824357330751595e-07,,,0
2022-01-29,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,551033703,-2.7160147761488467e-06,-2.4213740039242096e-06,-2.9464077222463715e-07,,,0
2022-01-30,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,488342024,-2.6754133209663815e-06,-2.472181867332644e-06,-2.0323145363373743e-07,,,0
2022-01-31,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,531285879,-2.6131140233622685e-06,-2.5003682985385688e-06,-1.1274572482369978e-07,,,0
2022-02-01,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,519254046,-2.4547528483948044e-06,-2.491245208509816e-06,3.649236011501163e-08,2.2000000171829015e-05,,1
2022-02-02,2.2000000171829015e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,484518640,-2.3824784181081033e-06,-2.4694918504294738e-06,8.701343232137043e-08,,,0
2022-02-03,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,421850042,-2.2987024010104535e-06,-2.4353339605456702e-06,1.3663155953521674e-07,,,0
